"","T","MMM","ABT","ADBE","AES","AFL","A","APD","ALL","GOOG","MO","AMZN","AEE","AEP","AXP","AIG","AMP","ABC","AMGN","ADI","ANTM","AON","APA","AAPL","AMAT","ADM","ADSK","ADP","AZO","AVY","BLL","BAC","BK","BAX","BDX","BBY","BIIB","BA","BXP","BSX","CPB","COF","CAH","CCL","CAT","CBRE","CNP","SCHW","CVX","CI","CINF","CTAS","CSCO","C","CTXS","CLX","CME","CMS","KO","CTSH","CL","CMCSA","CMA","CAG","STZ","COST","CSX","CMI","CVS","DHI","DE","DVN","DOV","DTE","DUK","EMN","EBAY","ECL","EIX","EA","EMR","ETR","EOG","EQR","EL","EXC","XOM","FDX","FIS","FISV","F","GPS","GD","GIS","GPC","GILD","GL","GS","GWW","HAL","HIG","HAS","HSY","HES","HD","HON","HPQ","ITW","INTC","IBM","IP","IPG","IFF","INTU","JNJ","JPM","JNPR","KEY","KMB","KIM","KR","LB","LH","LEN","LLY","LNC","LIN","LMT","LOW","LUMN","MTB","MRO","MMC","MAS","MCD","MDT","MRK","MU","MSFT","TAP","NTAP","NWL","NEM","NEE","NKE","NSC","NOC","NLOK","NOV","NUE","NVDA","OXY","ORCL","PCAR","PH","PEP","PKI","PFE","PNC","PPG","PFG","PG","PGR","PLD","PRU","PEG","PSA","PHM","DGX","RF","RHI","SLB","SEE","SHW","SPG","SNA","SO","LUV","SWK","SYK","SYY","TGT","TXT","TMO","TJX","TRV","TFC","UNP","UNH","UPS","VRSN","VZ","VFC","VTRS","VMC","WMT","WBA","DIS","WFC","WMB","XEL","XLNX","YUM","ZBH","ZION","ED","GLW","DHR","DRI","D","ETN","ES","FITB","FE","BEN","FCX","GE","HUM","HBAN","K","KLAC","LEG","L","MAR","MKC","MCK","MET","MCO","MS","MSI","NI","NTRS","OMC","PAYX","PPL","QCOM","RTX","ROK","SPGI","SRE","SBUX","STT","TROW","TPR","TXN","TSN","USB","VLO","VIAC","VNO","WM","WAT","WY","WHR"
"2006-01-03",10.431524,51.640888,12.973749,38.52,12.349949,16.091425,20.660351,37.802959,37.241848,216.802368,7.309402,47.580002,26.22361,19.899185,41.047951,923.953735,30.1145,16.665489,62.662628,24.627022,67.237671,30.62356,57.721905,2.292199,13.862292,16.830988,42.75,24.839304,92.760002,37.253986,8.782098,34.106041,24.557804,15.758225,46.437881,30.687159,46.740002,50.119705,40.973557,24.459999,19.114094,68.833305,35.39571,36.601776,37.883533,20.096666,6.589915,11.800288,32.587902,36.542412,24.585318,32.782745,12.867066,370.934509,22.426874,36.798252,43.569141,9.061751,12.639191,12.017149,19.050358,6.809913,36.772522,9.782294,23.915588,35.636406,2.086289,16.318302,20.159101,29.497927,24.590082,49.7654,20.042011,19.496796,23.405567,16.838017,18.018316,29.748598,27.187672,53.076725,23.752651,37.146946,33.92292,19.332161,13.864696,29.857298,34.603573,91.53685,17.3018,10.9225,5.135775,12.207293,40.437325,15.020379,26.725676,11.152009,21.318861,104.412071,53.784595,26.005199,61.767635,12.9736,37.30172,36.680607,27.779554,24.896559,9.385266,30.853727,16.26067,52.550842,18.886698,7.025518,24.28318,24.523438,39.047016,26.663109,17.903683,21.503336,33.090572,15.400452,7.309385,9.77458,53.68,53.187218,33.430836,39.161404,39.004505,40.090019,25.899775,10.797848,70.250153,14.128053,21.695206,19.363926,21.310425,42.582741,17.622568,13.51,19.377451,23.928102,22.888216,14.902265,44.420628,6.110146,5.615246,30.263464,37.14257,6.902248,25.844883,20.913162,2.926649,25.893194,10.701898,19.181969,33.723534,38.346119,21.045969,11.924534,42.02837,20.335358,30.84767,37.325562,16.762537,29.379068,46.977459,18.337252,42.221153,35.773094,40.249386,22.058298,27.878441,36.733288,20.707361,12.00644,38.864269,27.016933,16.685602,15.126329,33.613495,37.356075,19.417896,38.194572,35.122028,29.021774,3.592167,31.394749,24.30715,14.701665,51.467903,47.956848,18.307697,12.893149,8.641577,19.514448,55.658245,32.442505,32.561256,20.021515,20.523809,10.147174,10.225717,18.501081,12.45766,62.999783,60.897545,23.44725,14.880162,13.763546,21.893442,21.105696,10.868345,11.929406,24.200636,24.792725,20.904022,19.284784,21.059719,51.078178,14.400444,27.026962,28.203297,12.975159,29.21677,26.734652,11.213305,46.597351,29.770321,51.768101,33.850468,73.422264,4.389966,37.072479,29.181213,22.577303,13.680992,30.699766,24.753239,42.24575,37.712242,27.512032,12.795313,43.273026,24.084551,23.970114,23.367142,13.370803,19.447893,32.098789,24.8524,33.391182,19.302742,38.099998,40.555721,55.069374
"2006-01-04",10.507517,51.379761,12.993425,38.419998,12.875965,16.181261,20.715858,37.371735,37.201019,221.788681,7.362044,47.25,26.092148,19.867222,40.648903,925.280762,31.058701,16.555059,62.366318,24.855173,67.37323,30.730434,57.559055,2.298945,13.983298,17.894146,42.52,24.919724,91.900002,37.809547,9.168679,33.743816,24.678677,15.975955,47.129253,30.220638,47.27,50.639111,41.125809,25.309999,19.037642,68.390129,35.441261,36.460918,38.846996,20.316668,6.589915,12.376103,32.494122,37.365677,24.880997,32.751125,13.162009,364.086212,22.963768,37.042934,42.941463,9.018159,12.614468,12.090674,19.27586,6.848857,37.09174,9.815662,24.127234,35.750645,2.080859,17.156933,20.159101,29.258375,24.622623,50.765465,20.384977,19.447741,23.380352,16.838017,18.038584,29.473614,27.479158,54.320557,23.787434,37.020412,33.957275,19.399849,14.555017,29.857298,34.662777,92.883461,17.306021,11.075,5.253839,12.145257,40.440823,15.144591,26.755907,11.304916,21.345608,102.969894,53.55241,26.315645,62.174465,12.869816,37.267727,37.169212,27.267614,24.796862,9.659288,30.939835,16.476885,52.480396,19.033331,7.119382,24.383907,24.559717,39.648899,26.509205,18.047319,21.637463,33.218658,15.579255,7.232244,9.665,54.740002,52.602566,33.267647,39.432091,38.69294,40.676708,25.579262,10.918512,70.427345,14.314291,21.708809,19.189083,21.501158,43.036945,17.827049,14.05,19.471313,23.821201,23.011221,15.033469,45.120277,6.110146,5.589115,30.33312,37.4104,7.111405,26.618591,21.24181,3.008582,25.585976,10.718889,19.509178,34.684902,38.32687,21.063511,12.310658,42.292885,20.619352,30.815348,37.395412,16.836546,29.290485,47.424316,18.367533,42.384109,35.469486,40.414063,22.096668,27.826368,37.223732,20.785896,12.00644,38.963367,27.269356,16.647539,15.595868,33.522797,38.001003,19.537207,38.14571,35.117489,29.242214,3.773715,31.742907,24.496729,14.688828,51.592979,48.020321,17.917089,13.270857,8.611737,19.436392,55.026035,32.505665,31.549774,19.685087,20.285755,10.210861,10.275274,19.333887,12.564247,63.597771,61.327507,23.44725,15.473885,13.822159,22.263163,21.161692,10.821459,11.947482,24.50099,25.025627,20.930187,20.401304,21.029945,52.076302,14.40639,27.261881,27.980732,13.012764,29.467468,27.027699,11.53666,47.327072,29.952997,51.710533,33.873703,74.279366,4.367328,37.02285,29.343864,22.770172,13.799562,31.697508,24.604357,42.88147,37.573971,27.154263,13.126904,43.40213,24.193445,23.545422,23.578032,13.450818,19.518541,32.423534,24.662685,33.445526,19.050993,37.830002,41.535534,55.32251
"2006-01-05",10.532845,50.909756,13.160729,38.07,12.753987,16.312563,21.258572,37.048302,37.303097,224.777481,7.343524,47.650002,25.869659,19.755375,41.079258,926.475098,31.423515,16.350008,61.461761,25.64699,66.924194,30.500246,56.321621,2.280854,14.142113,17.466122,41.869999,24.710632,91.980003,37.525158,9.133738,33.787266,24.799522,15.836283,46.798931,29.843306,47.119999,50.041428,41.756496,25.870001,19.190557,68.405968,35.253975,36.078594,38.846996,20.633333,6.594984,12.47076,32.096954,37.922108,24.683882,32.205799,13.530701,365.892365,22.979109,37.223221,43.685566,8.974561,12.676274,11.927029,18.987907,6.85924,37.315174,9.76323,23.050613,35.536484,2.073341,16.916296,20.648739,29.841303,24.662407,50.134651,20.283535,19.282745,23.21221,17.057068,18.593801,29.723608,27.224108,55.564384,23.736843,36.798981,32.681465,19.438515,14.297185,29.731575,34.491146,91.935486,18.052217,11.1725,5.476848,12.034972,39.945049,15.062795,26.816357,11.543453,21.196609,102.929398,53.477493,25.706701,61.662457,12.720613,37.281326,36.902939,26.998169,24.783571,9.590785,30.636745,16.705818,52.832619,18.971291,7.263793,24.239998,24.196941,39.48418,26.589512,18.174053,21.739645,33.341167,15.800399,7.259245,9.94553,54.889999,53.305847,33.448296,39.593029,38.584274,40.701939,25.281921,10.827198,70.667892,14.266648,21.893538,19.101656,21.52659,42.542942,17.853956,14.18,19.48575,23.860399,23.134235,15.089712,44.047459,6.126124,5.623086,29.845564,37.472694,7.217957,25.882999,21.085024,3.076733,25.299856,10.86328,19.58279,34.386383,38.102303,20.958235,12.325701,42.31271,20.682459,30.621462,37.274765,16.977295,29.290485,47.064346,18.26569,43.120369,36.276211,40.468941,22.301321,27.923052,37.031807,20.748499,12.200393,39.394482,27.360527,16.604721,15.641895,33.362293,37.565468,19.461847,38.034027,35.040451,29.165535,3.755095,32.050102,24.496729,14.520076,51.434563,48.039364,18.078426,13.423642,8.669854,20.21697,55.609612,32.063549,31.262823,20.029718,20.263241,10.104719,10.269768,20.496935,13.099863,62.926197,61.884895,23.432188,15.228979,13.690278,21.728489,20.660444,10.761647,11.947482,24.833296,25.060324,20.686047,19.735483,20.976358,52.616585,14.537253,27.360785,28.10314,12.867698,29.582243,26.960371,11.475584,47.406204,29.870501,51.89967,33.966579,74.660286,4.295293,37.072479,28.818598,22.694193,13.544184,31.544006,24.512405,43.38295,37.537579,27.917492,13.102038,43.508453,24.173653,23.898138,23.999817,13.410812,19.614887,32.34087,25.004171,33.662861,19.126516,37.259998,41.170395,55.409103
"2006-01-06",10.666767,51.327541,13.413314,39,12.959823,16.896519,21.369583,37.910774,37.316692,231.960556,7.403962,47.869999,26.248911,20.064302,41.220081,930.456604,31.187464,16.168596,60.90033,25.74765,66.87336,30.376925,57.095028,2.33973,14.648807,17.983889,44.290001,24.925093,91.010002,37.948425,9.19707,33.736572,25.124363,15.930774,47.667004,32.278778,47.18,49.344128,42.599228,26.24,19.305233,68.405968,35.071758,36.206032,39.620388,20.733334,6.640607,12.652183,32.681656,38.068523,24.913855,32.640476,13.84039,365.892365,23.109495,37.809158,44.999729,9.105349,12.796795,12.178424,19.019135,7.082516,36.791676,9.739388,24.062817,35.586437,2.055381,17.113832,20.763498,29.745476,24.745577,51.227036,20.621677,19.487873,23.363537,17.160152,18.905859,30.040247,27.333412,56.28083,24.132046,37.210194,33.420311,19.767248,14.243127,30.321938,35.171734,90.890068,17.904667,11.2125,5.588354,12.138361,40.848728,15.169557,26.810318,11.627043,21.341789,104.387749,55.859589,26.287788,62.307739,12.967117,36.995693,37.605656,27.200258,25.169041,9.864808,31.074169,16.731256,54.401585,19.275822,7.379319,24.391102,24.464487,39.66156,26.776842,18.63875,21.746025,33.536095,15.95567,7.236104,10.011274,55,53.060123,33.698925,40.005615,39.417522,41.301231,24.984579,10.925035,70.908394,14.442057,22.16037,18.983017,21.653738,43.442463,17.821663,14.47,19.427998,24.230993,23.765692,15.002235,44.855968,6.133388,5.605445,29.364956,37.777901,7.502101,26.923502,21.694088,3.127271,26.447378,11.143567,19.749119,36.273678,38.243469,20.747686,12.461092,42.656563,20.931398,30.563297,37.236668,16.869921,29.568043,47.014687,18.609749,43.416103,36.102722,40.7826,22.326916,28.43631,38.197491,21.126226,12.258845,39.92469,27.409616,16.699875,15.743165,33.983349,37.808369,19.625124,37.922337,35.158291,29.175125,3.804748,32.22757,24.433546,14.413686,52.443394,47.753742,17.798206,13.477388,8.773515,20.148672,56.736233,32.196892,31.112188,20.300501,20.382265,10.14293,10.308313,20.90616,13.062555,62.604187,62.52985,23.502478,15.726213,13.895416,22.979862,20.865738,10.92169,11.881212,24.820507,25.303152,20.890953,20.158886,21.119263,52.26862,14.602683,27.447329,28.932159,12.894564,29.83898,27.138588,11.353427,46.861095,30.035501,52.162781,34.0014,77.263237,4.34469,37.526035,29.120214,22.477942,13.612589,33.044098,24.591215,44.265873,38.170742,28.018852,13.106179,44.032459,24.371626,23.977316,24.217741,13.450818,19.769032,33.002224,25.829418,33.992737,19.22093,37.349998,41.231251,55.742176
"2006-01-09",10.705276,51.582134,13.911926,38.380001,12.738737,16.975986,21.307911,37.428799,37.187408,232.578247,7.426383,47.080002,26.122475,19.766026,42.245125,926.077087,32.253265,16.168596,61.586502,26.110008,65.831253,30.672886,57.339252,2.332064,14.762242,18.204809,43.639999,24.860758,92.459999,38.457672,9.096607,33.758297,25.267878,15.955419,47.782219,32.793331,47.549999,48.931442,43.175568,25.879999,19.381697,69.735458,36.16,36.595062,40.341335,20.916668,6.589915,12.778389,32.516174,37.554409,24.826241,32.774837,14.05423,364.161621,22.948429,38.092476,45.725838,9.049299,12.858603,12.39187,19.244648,7.126653,37.034283,9.801365,24.081223,35.729218,2.092971,17.284431,20.618134,31.901529,24.890232,51.119324,20.911507,19.470037,23.41398,17.079611,18.881542,29.881927,27.01156,55.842999,24.422895,37.030956,33.574955,19.960615,14.40115,30.245405,35.153984,91.182434,18.064859,11.2875,5.653943,12.145257,40.852242,15.172606,26.810318,11.80645,21.322687,105.643616,56.301556,26.522585,62.153435,13.096851,37.029705,38.011909,27.496637,24.963015,9.988767,30.936399,16.833002,53.620304,19.123554,7.379319,24.556585,24.097179,39.908672,27.211746,17.785398,21.771572,33.942608,15.993324,7.243817,10.072642,54.98,55.28014,34.141869,39.880367,38.69294,41.572498,25.131317,10.846768,71.851486,14.717084,22.269836,19.032972,22.066971,43.538311,18.112236,14.7,19.391893,24.523188,23.814896,15.170943,45.485653,6.107239,5.683843,29.525177,37.964767,7.656006,26.630028,21.841822,3.214566,26.920244,10.939719,19.563707,36.56208,38.050968,20.826647,12.461092,42.630096,21.124228,30.867056,37.516068,17.242842,29.61529,47.461571,18.56571,43.923038,38.236622,40.814022,22.461224,28.659452,37.67152,20.999062,12.277441,40.246796,27.858379,16.614235,15.77078,34.457859,39.399765,19.713045,37.97121,35.339558,29.826866,3.868368,32.241234,24.490988,14.613622,51.192764,48.337688,18.333172,13.53327,9.104911,20.265759,56.574127,32.077591,31.499552,20.513845,20.379047,10.308514,10.28078,20.884611,13.163817,64.821335,62.01228,23.472361,16.73554,13.834367,23.281328,20.815083,10.981505,11.941457,24.922756,25.427027,21.311646,20.005228,21.065674,52.497551,14.65621,27.577152,29.494122,13.03963,29.802734,27.439552,11.227678,45.586277,30.35371,53.009689,34.361336,77.866341,4.315875,37.348869,28.801651,22.220795,13.699235,33.190624,24.871458,45.452515,37.515747,27.756496,12.973545,44.062847,24.701603,24.855495,24.027945,13.466827,19.775455,33.214787,25.639708,34.376938,19.535606,38.34,41.133873,56.614826
"2006-01-10",10.641096,51.26226,13.777428,38.610001,12.654885,16.989807,21.58544,36.99757,37.929115,234.002899,7.416636,45.650002,26.102251,19.771357,42.119919,934.305359,31.945696,16.172543,60.806751,26.110008,65.746475,30.352245,57.518375,2.479562,14.966441,18.087446,42.529999,24.65703,92.459999,38.623001,9.052921,33.475777,25.222548,15.9472,47.859055,33.108917,47.959999,49.166256,43.224491,26.48,19.400803,69.418915,35.663967,36.038357,40.17749,21.166668,6.569635,12.360332,32.676147,37.547901,24.853622,32.956612,13.987867,365.290344,22.618624,38.021664,45.550587,9.061751,12.870962,12.259059,19.050358,7.11627,36.983208,9.701256,24.035217,35.693523,2.131815,17.237745,20.763498,32.212963,24.901075,51.196247,20.921177,19.429903,23.489639,17.034525,18.69512,29.631948,27.503445,55.624088,24.814932,37.131126,33.506222,20.115316,14.496799,30.037687,35.426216,90.358521,18.296736,11.005,5.752331,12.048755,40.74675,15.209212,26.665226,11.639274,21.288298,106.972359,56.12928,27.302679,61.655422,13.985546,36.832481,38.934208,28.156776,24.92314,10.040962,30.812399,16.610434,53.838032,19.315302,7.22047,24.70768,24.042765,39.978367,27.251898,18.799292,21.656616,33.619625,16.045082,7.197527,10.046339,55.400002,55.847862,33.908745,40.108761,37.823437,41.597729,25.463415,10.709797,72.12999,15.050578,22.00985,19.114151,22.08605,43.398232,17.934668,14.57,19.49297,24.426971,23.478662,14.970992,45.283546,6.099979,5.695603,29.546061,38.120487,7.541564,27.270344,21.73629,3.215332,27.378052,10.718889,19.558249,37.477905,37.922623,20.782785,12.255498,42.636715,20.924383,31.073881,37.370014,17.203661,30.117226,47.138821,18.477627,44.261013,38.002411,39.997112,22.422838,29.418144,38.083775,20.804596,12.229617,40.672955,27.823299,16.590446,15.697135,34.674175,39.28252,19.556051,37.929321,35.421127,29.865198,3.879231,32.009132,24.462271,14.582439,52.201614,48.077454,18.579424,13.589157,8.958847,20.353575,57.230629,32.182854,31.047617,20.776424,20.362963,10.397672,10.33034,20.999479,13.153155,64.545326,61.287704,23.407084,17.314425,13.685401,22.740965,20.999046,10.871572,11.790835,24.922756,25.37253,21.320364,20.807619,20.952547,51.929798,14.650257,27.496788,29.360571,12.953665,30.014175,27.356388,11.048037,45.559883,30.082647,53.470139,34.378742,76.120453,4.303525,37.093712,28.652542,21.79414,13.63083,33.058075,24.888973,45.480762,35.863762,27.804195,12.857488,44.480541,24.609213,24.675541,23.788921,13.40281,19.685535,33.521851,25.193882,34.578747,19.888048,38.959999,41.681602,55.355812
"2006-01-11",10.726666,51.157837,13.680026,39.330002,12.616766,17.034731,21.579271,37.720543,37.799835,234.934402,7.454653,44.93,25.839312,19.808643,41.893021,940.01178,31.61664,16.168596,60.674183,26.237503,65.187347,30.664667,57.803303,2.572783,15.616819,18.474049,41.93,24.732082,93.330002,38.464279,8.963378,33.396099,25.486938,15.943092,46.944889,33.088337,47.529999,49.877773,42.604675,25.41,19.158686,69.640503,35.522243,36.145676,40.197147,21.290001,6.503738,12.297223,33.007107,37.508846,24.886477,32.869682,14.304936,368.601593,22.687651,38.04739,46.325897,9.036843,12.877144,11.948375,18.970554,7.139637,36.87466,9.648817,24.081223,36.186077,2.140588,17.410141,20.709944,33.051418,25.005939,50.296192,21.061256,19.434364,23.624155,16.876678,18.387114,29.965256,27.448803,57.902786,24.720081,36.941315,33.66946,20.008957,14.471843,29.879162,35.668861,90.163597,18.317814,10.99,5.857275,12.510582,40.525223,15.309875,26.647087,11.606654,21.154577,106.923737,55.807167,27.895683,62.083328,13.764993,36.716869,39.024792,28.931412,24.936424,10.223645,30.994946,16.623154,53.902069,19.191231,7.234912,24.801218,23.852303,39.598217,27.231836,18.697901,21.535276,34.070702,16.063894,7.166671,10.278658,57.060001,55.88176,33.908745,40.086655,37.808952,41.799595,25.814823,10.713058,70.743843,15.132868,22.392981,19.264021,22.467503,43.162285,18.004623,14.75,19.702345,24.672846,24.962999,14.964745,45.470116,6.059302,5.703446,29.601786,38.263752,7.762561,27.403738,21.660913,3.331724,27.248539,10.701898,19.50098,37.169247,37.768631,21.01965,12.410947,42.969917,20.82972,31.022179,37.503357,17.131109,30.111332,47.492603,18.331743,44.357574,38.731045,39.997112,22.230974,29.418144,38.115765,20.632565,12.373085,40.752232,27.542833,16.552387,15.420937,35.023064,39.692936,19.405325,37.929321,35.10844,30.181488,3.907161,32.527939,24.311552,14.637472,51.567944,47.829891,18.596409,13.752522,8.888165,20.002314,56.647068,32.681103,30.990221,20.973356,20.469114,10.338229,10.253252,20.863077,13.047654,66.228874,61.646011,23.321728,18.51671,13.51445,22.7694,20.889734,10.920069,11.887234,24.820507,25.298193,21.706186,20.59593,21.095446,51.984764,14.644321,27.317507,29.594275,12.964407,30.116869,27.712799,10.87557,45.041157,30.176929,53.979927,34.740303,75.93,4.330282,37.355934,28.825378,21.922714,13.566988,34.048843,24.512405,45.932816,35.587204,27.971157,12.898936,44.883034,25.21966,24.150063,23.760805,13.442817,19.602043,33.628132,24.833427,34.605923,19.642601,39.150002,41.657253,55.32251
"2006-01-12",10.6796,50.720451,13.650307,39.48,12.449054,16.806677,21.104389,37.428799,37.289474,230.949341,7.442956,44.360001,25.672441,19.664831,41.900833,932.447388,31.588041,16.294788,60.198524,26.016062,65.187347,30.968861,57.078758,2.584742,15.745385,18.694963,41.700001,24.367506,95.93,38.457672,8.827963,33.178768,25.260326,15.815743,46.783573,32.820778,47.060001,49.58606,42.32193,25.049999,19.305233,68.611694,35.461502,36.487743,40.77393,21.256666,6.589915,12.178902,33.034687,37.476311,24.71126,32.600971,14.157464,368.977783,23.285902,37.525848,45.623802,9.186315,12.806069,11.791845,18.821373,7.225308,36.804447,9.720325,24.421692,36.214664,2.115525,17.512503,20.656385,32.372665,25.05295,50.380798,20.85354,19.461117,23.430807,16.693054,18.172319,29.448618,27.66741,56.887817,24.720081,37.25766,33.652275,19.820429,14.505115,29.884624,35.296017,88.870087,18.149178,10.97,5.614589,12.310685,40.606091,15.242761,26.489918,11.914505,21.093447,107.15062,55.919518,27.449932,61.844807,13.654719,36.852879,39.022045,28.661982,24.644003,10.119256,31.077614,16.515043,53.517818,18.835949,7.191587,24.570982,23.743475,39.414494,26.730021,18.266994,21.298967,34.059574,16.002733,7.224529,10.094558,57.189999,55.271667,33.774696,40.152962,37.678513,41.711292,25.617878,10.794586,69.477951,15.007265,21.900379,19.001749,22.117838,42.896854,18.015377,14.57,19.594046,24.473303,26.791756,14.802285,45.058102,6.034603,5.638767,29.546061,38.213928,7.679688,26.325121,21.103109,3.284248,26.450397,10.633951,19.250135,36.526661,37.755787,20.431877,12.325701,42.430141,20.500141,30.789492,37.090607,16.752386,29.999125,46.853325,18.359278,44.152374,37.169662,39.847878,21.898403,29.440468,37.461838,20.438095,12.282754,40.588696,27.297415,16.571417,15.061887,34.890488,38.863735,19.329967,37.64315,34.927162,30.13357,3.869921,32.336807,23.975346,14.512739,52.134914,47.398243,18.570934,13.804102,8.900732,20.334057,55.342136,32.098633,31.097837,21.039001,20.231075,10.384937,10.357873,20.683594,12.836647,66.624458,60.714405,23.246437,17.707767,13.301993,22.894545,20.668432,10.630703,11.851082,24.79495,25.174299,21.520903,20.301783,20.839417,52.057995,14.424242,27.187695,29.277111,12.937547,30.15312,27.451433,11.026477,45.155453,29.799778,53.478359,34.682011,75.739525,4.324107,37.015766,28.652542,21.507757,13.562425,34.188381,24.284695,45.932816,34.248142,27.845934,12.832616,44.032459,25.140471,23.581406,23.458523,13.514836,19.518541,33.893864,24.6532,34.62532,19.705536,38.700001,40.926964,54.543118
"2006-01-13",10.692435,50.589912,13.600778,38.84,12.601519,16.834324,20.944036,37.276608,37.207836,232.254456,7.451731,44.400002,25.803913,19.803308,41.814762,929.660767,31.387747,16.334225,60.510441,26.183823,63.450481,30.787975,58.104557,2.624607,15.238694,18.494757,42.880001,24.528357,95.779999,38.457672,8.959005,33.178768,25.177223,15.684292,47.190704,32.834507,46.209999,49.436638,41.816307,25.200001,19.38806,68.56424,35.264088,37.493851,40.852585,20.450001,6.589915,12.005372,33.293919,37.222492,24.946699,32.466618,13.950997,368.150085,23.439301,37.789837,45.874649,9.217455,12.765895,11.704094,18.994843,7.256464,36.900204,9.782294,24.062817,36.407394,2.120956,17.341898,20.46513,32.165035,25.168678,50.496201,20.868038,19.559221,23.809111,16.631853,18.630274,29.348623,27.794941,56.907722,24.88764,37.363098,34.464581,19.612545,14.492639,30.56793,36.083126,88.595459,18.241932,10.955,5.608029,12.007398,41.210918,15.239713,26.834496,12.110226,21.238628,107.968903,56.196709,27.680773,61.508141,13.946621,37.029705,39.046715,28.230869,24.697174,10.406325,30.83996,16.400578,53.261673,18.751352,7.22047,24.729263,23.494068,39.167381,26.709942,18.52047,21.516113,34.198776,15.753351,7.236104,10.011274,56.93,54.220963,33.774696,40.027725,37.678513,41.503109,25.579262,10.807634,69.699493,15.444706,21.955114,18.889359,21.9144,43.01482,18.009995,14.51,19.630148,24.533878,26.340717,14.933507,46.542919,6.056396,5.631579,29.58786,37.958546,7.675741,26.603348,20.946325,3.25515,27.058804,10.62546,19.231052,36.390053,37.665947,20.60733,12.370831,42.496758,20.500141,30.770109,37.401775,16.929411,29.43811,46.865742,18.763901,43.241074,36.848717,39.887154,22.198997,29.32888,38.126419,20.389477,12.224306,39.92469,27.220291,16.614235,15.071092,34.960281,38.696198,19.003401,37.957264,35.575237,30.718218,3.863713,32.25489,24.270971,14.441198,50.809238,47.290325,18.503002,13.834195,8.844191,20.060856,55.236763,31.860044,31.126532,21.088238,20.34688,10.444372,10.363378,20.669237,12.83398,64.950119,61.343441,23.246437,18.40539,13.502242,23.013985,20.825743,10.515923,11.851082,24.878027,25.149521,21.36832,20.85095,20.898956,51.764984,14.453979,27.051691,28.943285,12.889189,30.434011,27.542509,11.083962,44.970821,29.858719,52.795902,34.62952,76.279167,4.322048,37.171692,28.788101,21.595425,13.566988,33.937187,24.372282,45.925755,34.895821,28.155996,12.969399,43.660347,25.081068,23.89093,23.219503,13.242775,19.647007,34.389866,24.169434,33.821983,19.925814,38.799999,40.458366,54.076836
"2006-01-17",10.628258,50.322269,13.56115,39.439999,12.510038,16.699562,20.820705,37.898079,37.003689,232.682846,7.389341,44,26.071917,19.909847,41.439186,916.256042,31.137384,16.133108,60.993885,25.378576,64.585793,30.705767,59.732803,2.597621,14.943754,18.487852,42.57,24.303173,94.93,38.391521,8.9328,32.823799,24.882624,15.840391,46.73748,32.95113,46.389999,48.874523,41.69125,23.9,19.343456,68.057793,34.671898,36.970676,41.265507,20.333332,6.696367,11.816063,34.121304,37.277809,24.859091,32.324348,13.774031,364.462494,23.324255,37.570923,45.84584,9.385612,12.679359,11.668522,18.904648,7.295404,36.651234,9.796598,24.072025,36.121838,2.118032,17.072535,20.549286,31.60607,25.454355,51.942467,20.843885,19.657335,23.884785,16.457895,18.40332,29.381958,28.122871,55.922607,24.647366,37.484348,35.474564,19.573883,14.484323,31.147352,36.420486,86.991852,18.170263,11.0775,5.450613,11.883327,40.73621,15.099405,26.556417,12.040911,21.005573,107.426048,56.181713,27.859875,60.883873,13.914188,37.451347,39.856495,28.001852,24.497784,10.328033,30.929506,16.228872,53.152813,18.76827,7.184367,24.671705,23.580229,38.82526,26.569429,18.343042,21.235102,34.048428,15.814518,7.247675,9.717599,56.849998,53.746468,33.378368,39.497265,37.917625,41.458946,25.227865,10.735888,68.946274,15.503181,21.797752,18.93306,21.990686,43.353981,17.870092,13.97,19.48575,23.735678,26.020885,14.752295,45.936543,6.092714,5.566246,29.539083,37.802818,7.64022,27.136944,21.271963,3.252853,27.76659,10.566005,19.10017,37.042778,37.492695,20.370455,12.175261,41.590462,20.370419,30.614998,37.243015,16.618887,29.379068,46.567822,19.113462,43.120369,36.206818,40.279892,21.987938,27.93795,38.560001,20.266066,12.787561,39.939564,27.136143,16.690365,14.610765,35.337093,39.173622,19.348803,37.761795,35.371277,30.641546,3.820265,31.695131,24.155029,14.435699,50.859257,47.556938,18.71529,13.53327,8.776654,19.826683,55.139488,31.544264,31.406294,20.825655,20.137779,10.665149,10.479018,20.389238,12.676393,65.042114,61.048836,23.497458,18.063999,13.431418,22.422432,21.169682,10.423781,11.881212,24.564892,25.491463,21.122005,21.201033,20.803684,50.968304,14.269583,27.045513,28.826443,12.625918,30.261845,27.328669,11.022885,45.551094,29.499258,51.874985,34.297096,74.660286,4.34469,37.235466,28.516998,21.893499,13.680992,33.574383,24.512405,46.41312,36.38773,28.382578,12.907227,43.113525,24.757696,23.437452,22.664156,13.194768,19.287334,35.529507,23.771038,33.472706,19.881756,38.34,40.500961,54.256691
